time,median,1st qurtile,3rd quartile,std,skew,kurt,name,ISO
2016-01-03,264.71667726966194,262.9219586863074,265.8526161221634,1.8894474130471453,-0.059618281283771966,-0.5549258867462804,Poland,PL
2016-01-10,268.7110151104134,267.1833555636926,270.8446370196767,2.221272765697421,0.12317361357284473,-0.5300778150471906,Poland,PL
2016-01-17,273.2676825154396,271.83086981670334,274.496928803656,1.8140864920202409,-0.13240142989500644,-0.6104303279082386,Poland,PL
2016-01-24,269.9371186677662,268.6394631681955,271.1305524414915,1.7129204913106832,-0.49384950828632396,-0.223057562856956,Poland,PL
2016-01-31,278.92722919326343,277.7057301020595,280.17884003134566,1.7302507506147127,-0.1291861771569597,0.07047593805252816,Poland,PL
2016-02-07,278.8591123289661,277.99427664738784,279.7441930442464,1.2128897891067774,-0.300900629905345,0.48014533218453587,Poland,PL
2016-02-14,279.12003207740133,278.1063917437743,280.15888734470064,1.4773501293835563,-0.10476622714956903,-0.24679012175532308,Poland,PL
2016-02-21,277.3815903025328,276.3018064472437,278.472044825405,1.7348277614845877,0.33835115571333824,0.01468220736049489,Poland,PL
2016-02-28,277.3254596675753,276.28740835468295,278.40400104787193,1.4598335109560063,-0.09064223388253012,1.2108676566721095,Poland,PL
2016-03-06,277.31858951173416,276.12632512623725,278.321266830721,1.8010466061637551,0.4181485879593274,0.6497060797264879,Poland,PL
2016-03-13,278.37980932889934,277.43428585956974,279.508342055955,1.4893403755722427,-0.21354922913517907,0.07246541571091224,Poland,PL
2016-03-20,278.6046242157864,277.473971972567,279.43774024167243,1.5310918661423139,-0.522245027627452,0.8058047221752034,Poland,PL
2016-03-27,280.26749427640226,279.40317020217395,281.35071320961197,1.3421752544523557,-0.23620878461753222,-0.26707966154803264,Poland,PL
2016-04-03,284.76452288178604,283.33962332562544,285.9609532128463,1.7953733015123603,-0.11225221926016561,-0.42603881291407436,Poland,PL
2016-04-10,288.2365827050814,286.913346838017,289.51786676945625,2.0710477345088365,0.09103786048743588,-0.010629168745834555,Poland,PL
2016-04-17,286.94908626574386,285.473318321653,288.49487133000304,1.9321068562696537,-0.13488194135441173,-0.10980811481548881,Poland,PL
2016-04-24,284.21754153800754,283.3484668241018,284.8100559359247,1.2742885573510283,-0.8451875108466841,1.6919194922899277,Poland,PL
2016-05-01,284.1682810588912,283.0067131143866,285.18776833365956,1.7693944244127349,-0.528367926639668,0.40253065153951484,Poland,PL
2016-05-08,292.1056498318782,290.2672253634917,292.9841527383746,1.9478434556790114,-1.0780137895906179,1.1674637481726085,Poland,PL
2016-05-15,292.22902028996197,290.7544948208636,293.2890707188988,1.7830771379314723,-0.5806939605879249,0.4224596615942677,Poland,PL
2016-05-22,289.5834255970043,288.78363713562425,290.4118640699772,1.2580819704084845,-0.28464983600449956,0.278930437143884,Poland,PL
2016-05-29,296.5310534082799,295.2756420584557,297.561942218274,1.8582144718684304,-0.7549331216030438,0.5493576122375019,Poland,PL
2016-06-05,296.9521793439896,295.185014470764,297.95339492769114,1.9546836911971337,-0.642733919849187,-0.18026030089257358,Poland,PL
2016-06-12,292.31365476298384,290.8235618130965,293.5459706952994,1.8949336812390976,-0.049300454878799006,-0.2266299672800248,Poland,PL
2016-06-19,295.23537125134436,293.14647844181275,296.79168080965803,2.625861929898758,-0.5412736854925544,-0.32412727220402854,Poland,PL
2016-06-26,298.86661404721445,296.9231638985754,300.8658293969897,2.4381512528409215,-0.019518876469741153,-0.6385364254443001,Poland,PL
2016-07-03,297.2818006508364,296.06468676548855,298.4476807144328,1.9111522986944123,-0.8041781755091696,0.8082558628899583,Poland,PL
2016-07-10,293.62775478451476,292.4493037974644,294.7062961648113,1.6360964038852717,-0.29066199288522465,-0.3523284034962683,Poland,PL
2016-07-17,294.4882783470012,293.16767360345045,295.99847015706206,2.1852032257276677,-0.09872271710957935,0.8287539509482412,Poland,PL
2016-07-24,295.37496697109543,293.9458283826073,296.5061308216646,1.6683327106718508,-0.24623917729511277,-0.5114208253489105,Poland,PL
2016-07-31,298.85433547081755,297.7035112806603,299.99945889336186,1.8542868904822278,-0.35229746836850956,0.34633423757105103,Poland,PL
2016-08-07,295.8602630858321,293.4938598323766,296.9067924633795,2.159760244491749,-0.4643317167244736,-0.22335156753436802,Poland,PL
2016-08-14,292.99613896771433,291.7881609278999,294.5851183096557,2.015448541897492,-0.1311327633151501,0.36940830814044834,Poland,PL
2016-08-21,294.6619324989009,292.8397332921818,296.17585173393945,1.9901696620191447,-0.39445010293156535,-0.7137880244432662,Poland,PL
2016-08-28,297.52371784056214,296.61539553424467,298.39410811622463,1.3809989399061056,-0.36327102267529376,0.6390549826312409,Poland,PL
2016-09-04,296.81346066540976,294.7492711822007,298.07618069166074,2.167834405258852,-0.3084904512011332,-0.6323748387268708,Poland,PL
2016-09-11,297.50763875242325,296.2332979306538,298.2868167462798,1.5697533979622877,-0.5984282299391986,0.18514030401246476,Poland,PL
2016-09-18,296.46469062632497,295.02393124231827,297.73164968490335,1.9127855254308983,-0.2409900817845107,-0.5602817110697772,Poland,PL
2016-09-25,289.14709761432687,287.94635516417486,290.34082373510915,1.6134576697392522,-0.21966196855459114,-0.36413466716166554,Poland,PL
2016-10-02,291.6823312932405,289.81781485001045,293.6699989342614,2.2646966484624445,-0.04708600912280728,-1.1318160421064953,Poland,PL
2016-10-09,282.97769766897244,281.88044607702335,283.96597689539857,1.4310775784177892,-0.27070032842596453,-0.22871880020640228,Poland,PL
